#,admin4Pcode,admin4Name_eng,admin4Name_ukr,admin4Na_1_rus,admin4ClassType,admin4PoliticalType,admin3Pcode,admin3Name_eng,admin3Name_ukr,admin3Name_rus,admin3PoliticalType,admin2Pcode,admin2Name_eng,admin2Name_ukr,admin2Name_rus,admin2ClassType,admin2PoliticalType,admin1Pcode,admin1Name_eng,admin1Name_ukr,admin1Name_rus,admin1ClassType,Population,Population_source,X Longitude,Y Latitude,IDP location Cluster,IDP estimation
7936,UA4612001009,Zhuzheliany,Жужеляни,Жужеляны,сільські населені пункти (СНП),,UA4612001,Belzka,Белзька,Белзская,міська ОТГ,UA4612,Chervonohradskyi,Червоноградський,Червоноградский,район,,UA46,Lvivska,Львівська,Львовская,область,676,Census 2001,24.05036266,50.39823787,1,676
8041,UA4606039017,Zabiria,Забір'я,Заборье,сільські населені пункти (СНП),,UA4606039,Rava-Ruska,Рава-Руська,Рава-Русская,міська ОТГ,UA4606,Lvivskyi,Львівський,Львовский,район,,UA46,Lvivska,Львівська,Львовская,область,1311,Census 2001,23.72019004,50.27425034,1,1311
8053,UA0702021005,Zabolottia,Заболоття,Заболотье,сільські населені пункти (СНП),,UA0702021,Ustyluzka,Устилузька,Устилугская,міська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,80,Census 2001,24.18300319,50.97664286,1,80
8063,UA0702009003,Zabolottsi,Заболотці,Заболотцы,сільські населені пункти (СНП),,UA0702009,Lytovezka,Литовезька,Литовежская,сільська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,1033,Census 2001,24.27105391,50.63215936,1,1033
8078,UA2110003003,Zabrid,Забрідь,Забродь,сільські населені пункти (СНП),,UA2110003,Velykobereznianska,Великоберезнянська,Великоберезнянская,селищна ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1215,Census 2001,22.46623574,48.91696741,1,1215
8090,UA4614003012,Zavada,Завада,Завада,сільські населені пункти (СНП),,UA4614003,Mostyska,Мостиська,Мостисская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,545,Census 2001,23.16291943,49.79576798,1,545
8097,UA4614011026,Zavadiv,Завадів,Завадов,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,1251,Census 2001,23.3801374,50.06312642,1,1251
8123,UA4614003014,Zaverkhy,Заверхи,Заверхи,сільські населені пункти (СНП),,UA4614003,Mostyska,Мостиська,Мостисская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,401,Census 2001,23.04350916,49.85099989,1,401
8162,UA2110007003,Zavosyna,Завосина,Завосина,сільські населені пункти (СНП),,UA2110007,Dubrynytska-Malobereznianska,Дубриницько-Малоберезнянс,Дубриничско-Малоберезнянс,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,191,Census 2001,22.4014394,48.85772082,1,191
8190,UA4606039018,Zahiria,Загір'я,Загорье,сільські населені пункти (СНП),,UA4606039,Rava-Ruska,Рава-Руська,Рава-Русская,міська ОТГ,UA4606,Lvivskyi,Львівський,Львовский,район,,UA46,Lvivska,Львівська,Львовская,область,77,Census 2001,23.6759423,50.21303502,1,77
8203,UA4614003016,Zahorby,Загорби,Загорбы,сільські населені пункти (СНП),,UA4614003,Mostyska,Мостиська,Мостисская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,293,Census 2001,23.06439103,49.88952736,1,293
8350,UA5106003004,Zaliznychne,Залізничне,Зализничное,сільські населені пункти (СНП),,UA5106003,Bolhradska,Болградська,Болградская,міська ОТГ,UA5106,Bolhradskyi,Болградський,Болградский,район,,UA51,Odeska,Одеська,Одесская,область,3472,Census 2001,28.61545542,45.748053,1,3472
8412,UA0702021006,Zaluzhzhia,Залужжя,Залужье,сільські населені пункти (СНП),,UA0702021,Ustyluzka,Устилузька,Устилугская,міська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,305,Census 2001,24.14055164,50.88206218,1,305
8416,UA4614011027,Zaluzhzhia,Залужжя,Залужье,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,1370,Census 2001,23.42538083,49.96778177,1,1370
8447,UA0706005007,Zamlynnia,Замлиння,Замлынье,сільські населені пункти (СНП),,UA0706005,Vyshnivska,Вишнівська,Вишневская,сільська ОТГ,UA0706,Kovelskyi,Ковельський,Ковельский,район,,UA07,Volynska,Волинська,Волынская,область,233,Census 2001,23.96625528,51.12929287,1,233
8457,UA4606011015,Zamok,Замок,Замок,сільські населені пункти (СНП),,UA4606011,Dobrosynsko-Maherivska,Добросинсько-Магерівська,Добросинско-Магеровская,селищна ОТГ,UA4606,Lvivskyi,Львівський,Львовский,район,,UA46,Lvivska,Львівська,Львовская,область,624,Census 2001,23.64823731,50.1606334,1,624
8557,UA2102017003,Zapson,Запсонь,Запсонь,сільські населені пункти (СНП),,UA2102017,Kosonska,Косоньська,Косоньская,сільська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1799,Census 2001,22.47264691,48.28122034,1,1799
8605,UA2110013003,Zarichovo,Зарічово,Заречево,сільські населені пункти (СНП),,UA2110013,Perechynska,Перечинська,Перечинская,міська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,2283,Census 2001,22.51851081,48.77090423,1,2283
8608,UA0702001004,Zarichchia,Заріччя,Заречье,сільські населені пункти (СНП),,UA0702001,Volodymyr-Volynska,Володимир-Волинська,Владимир-Волынская,міська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,1590,Census 2001,24.30964761,50.83948194,1,1590
8625,UA4608021008,Zarichchia,Заріччя,Заречье,сільські населені пункти (СНП),,UA4608021,Khyrivska,Хирівська,Хыровская,міська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,177,Census 2001,22.78459814,49.51679358,1,177
8642,UA4614011028,Zarubany,Зарубани,Зарубаны,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,219,Census 2001,23.55079234,50.16071947,1,219
8679,UA0702009004,Zastavne,Заставне,Заставное,сільські населені пункти (СНП),,UA0702009,Lytovezka,Литовезька,Литовежская,сільська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,845,Census 2001,24.27347133,50.59091218,1,845
8681,UA4612001011,Zastavne,Заставне,Заставное,сільські населені пункти (СНП),,UA4612001,Belzka,Белзька,Белзская,міська ОТГ,UA4612,Chervonohradskyi,Червоноградський,Червоноградский,район,,UA46,Lvivska,Львівська,Львовская,область,95,Census 2001,23.74033254,50.37663461,1,95
8697,UA2102019006,Zatysivka,Затисівка,Затисовка,сільські населені пункти (СНП),,UA2102019,Pyiterfolvivska,Пийтерфолвівська,Паятерфолвовский,сільська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,528,Census 2001,22.98805968,48.06391247,1,528
8705,UA2102003011,Zatyshne,Затишне,Затишное,сільські населені пункти (СНП),,UA2102003,Berehivska,Берегівська,Береговская,міська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,504,Census 2001,22.66985457,48.22997986,1,504
8844,UA7304007002,Zelena,Зелена,Зеленая,сільські населені пункти (СНП),,UA7304007,Livynetska,Лівинецька,Левинецкая,сільська ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,1975,Census 2001,26.73327325,48.36370995,1,1975
8851,UA4606039019,Zelena Huta,Зелена Гута,Зеленая Гута,сільські населені пункти (СНП),,UA4606039,Rava-Ruska,Рава-Руська,Рава-Русская,міська ОТГ,UA4606,Lvivskyi,Львівський,Львовский,район,,UA46,Lvivska,Львівська,Львовская,область,242,Census 2001,23.56016042,50.2241692,1,242
9016,UA5104023006,Zelenivka,Зеленівка,Зеленовка,сільські населені пункти (СНП),,UA5104023,Starokozatska,Старокозацька,Староказацкая,сільська ОТГ,UA5104,Bilhorod-Dnistrovskyi,Білгород-Дністровський,Белгород-Днестровский,район,,UA51,Odeska,Одеська,Одесская,область,177,Census 2001,30.00621602,46.29436342,1,177
9179,UA4614009013,Zolotkovychi,Золотковичі,Золотковичи,сільські населені пункти (СНП),,UA4614009,Shehynivska,Шегинівська,Шегиновская,сільська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,562,Census 2001,23.03931959,49.71078746,1,562
9214,UA4608005015,Zorotovychi,Зоротовичі,Зоротовичи,сільські населені пункти (СНП),,UA4608005,Dobromylska,Добромильська,Добромильская,міська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,527,Census 2001,22.89580649,49.66311978,1,527
9216,UA0702021007,Zoria,Зоря,Заря,сільські населені пункти (СНП),,UA0702021,Ustyluzka,Устилузька,Устилугская,міська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,338,Census 2001,24.20698439,50.93458533,1,338
9278,UA4606011017,Zubeiky,Зубейки,Зубейки,сільські населені пункти (СНП),,UA4606011,Dobrosynsko-Maherivska,Добросинсько-Магерівська,Добросинско-Магеровская,селищна ОТГ,UA4606,Lvivskyi,Львівський,Львовский,район,,UA46,Lvivska,Львівська,Львовская,область,527,Census 2001,23.7179802,50.15590614,1,527
9313,UA4606039020,Yonychi,Йоничі,Йоничи,сільські населені пункти (СНП),,UA4606039,Rava-Ruska,Рава-Руська,Рава-Русская,міська ОТГ,UA4606,Lvivskyi,Львівський,Львовский,район,,UA46,Lvivska,Львівська,Львовская,область,147,Census 2001,23.62229148,50.20408878,1,147
9359,UA4614011029,Ivanyky,Іваники,Иваники,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,171,Census 2001,23.25598453,49.86426646,1,171
9371,UA0702019007,Ivaniv,Іванів,Иванов,сільські населені пункти (СНП),,UA0702019,Poromivska,Поромівська,Поромовская,сільська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,62,Census 2001,24.11911028,50.79607899,1,62
9506,UA7304003012,Ivanivtsi,Іванівці,Ивановцы,сільські населені пункти (СНП),,UA7304003,Kelmenetska,Кельменецька,Кельменецкая,селищна ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,3253,Census 2001,27.03253834,48.4876028,1,3253
9548,UA5114015007,Ivano-Mykolaivka,Івано-Миколаївка,Ивано-Николаевка,сільські населені пункти (СНП),,UA5114015,Stepanivska,Степанівська,Степановская,сільська ОТГ,UA5114,Rozdilnianskyi,Роздільнянський,Раздельнянский,район,,UA51,Odeska,Одеська,Одесская,область,6,Census 2001,30.04862541,46.75983161,1,6
9564,UA5106005014,Ivanchanka,Іванчанка,Иванчанка,сільські населені пункти (СНП),,UA5106005,Borodinska,Бородінська,Бородинская,селищна ОТГ,UA5106,Bolhradskyi,Болградський,Болградский,район,,UA51,Odeska,Одеська,Одесская,область,575,Census 2001,29.13313722,46.34250071,1,575
9639,UA0702021008,Izov,Ізов,Изов,сільські населені пункти (СНП),,UA0702021,Ustyluzka,Устилузька,Устилугская,міська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,172,Census 2001,24.09886246,50.82611024,1,172
9714,UA4614009014,Iordanivka,Іорданівка,Иордановка,сільські населені пункти (СНП),,UA4614009,Shehynivska,Шегинівська,Шегиновская,сільська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,184,Census 2001,23.03534729,49.67690846,1,184
9816,UA5106017006,Kalachivka,Калачівка,Калачовка,сільські населені пункти (СНП),,UA5106017,Tarutynska,Тарутинська,Тарутинская,селищна ОТГ,UA5106,Bolhradskyi,Болградський,Болградский,район,,UA51,Odeska,Одеська,Одесская,область,580,Census 2001,28.98866314,46.38727221,1,580
9831,UA2108007003,Kalyny,Калини,Калины,сільські населені пункти (СНП),,UA2108007,Dubivska,Дубівська,Дубовская,селищна ОТГ,UA2108,Tiachivskyi,Тячівський,Тячевский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,5844,Census 2001,23.88164057,48.14076462,1,5844
9949,UA4614011031,Kalytiaky,Калитяки,Калытяки,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,617,Census 2001,23.41721189,50.04004033,1,617
10010,UA4606011018,Kamiana Hora,Кам'яна Гора,Каменная Гора,сільські населені пункти (СНП),,UA4606011,Dobrosynsko-Maherivska,Добросинсько-Магерівська,Добросинско-Магеровская,селищна ОТГ,UA4606,Lvivskyi,Львівський,Львовский,район,,UA46,Lvivska,Львівська,Львовская,область,762,Census 2001,23.65145328,50.13530106,1,762
10044,UA2110011003,Kamianytsia,Кам'яниця,Каменица,сільські населені пункти (СНП),,UA2110011,Onokivska,Оноківська,Оноковская,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1886,Census 2001,22.41824174,48.69405341,1,1886
10080,UA5114013021,Kamianka,Кам'янка,Каменка,сільські населені пункти (СНП),,UA5114013,Rozdilnianska,Роздільнянська,Раздельнянская,міська ОТГ,UA5114,Rozdilnianskyi,Роздільнянський,Раздельнянский,район,,UA51,Odeska,Одеська,Одесская,область,721,Census 2001,30.1099107,46.79996317,1,721
10098,UA7306023001,Kamianka,Кам'янка,Каменка,сільські населені пункти (СНП),центр сільської ОТГ,UA7306023,Kamianetska,Кам'янецька,Каменская,сільська ОТГ,UA7306,Cnernivetskyi,Чернівецький,Черновицкий,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,6284,Census 2001,25.89814151,48.02548195,1,6284
10158,UA4606039021,Kapeliukh,Капелюх,Капелюх,сільські населені пункти (СНП),,UA4606039,Rava-Ruska,Рава-Руська,Рава-Русская,міська ОТГ,UA4606,Lvivskyi,Львівський,Львовский,район,,UA46,Lvivska,Львівська,Львовская,область,60,Census 2001,23.51173386,50.1804578,1,60
10233,UA2102009004,Karachyn,Карачин,Карачин,сільські населені пункти (СНП),,UA2102009,Vylotska,Вилоцька,Вилокская,селищна ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,400,Census 2001,22.86829483,48.13487187,1,400
10269,UA5104023007,Karnaliivka,Карналіївка,Карналиевка,сільські населені пункти (СНП),,UA5104023,Starokozatska,Старокозацька,Староказацкая,сільська ОТГ,UA5104,Bilhorod-Dnistrovskyi,Білгород-Дністровський,Белгород-Днестровский,район,,UA51,Odeska,Одеська,Одесская,область,799,Census 2001,30.0282761,46.22064562,1,799
10282,UA4614011032,Karpy,Карпи,Карпы,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,104,Census 2001,23.45963037,50.16754106,1,104
10299,UA0508005008,Karpivka,Карпівка,Карповка,сільські населені пункти (СНП),,UA0508005,Mohyliv-Podilska,Могилів-Подільська,Могилев-Подольская,міська ОТГ,UA0508,Mohyliv-Podilskyi,Могилів-Подільський,Могилев-Подольский,район,,UA05,Vinnytska,Вінницька,Винницкая,область,878,Census 2001,27.850797,48.47669987,1,878
10390,UA4608021011,Katyna,Катина,Катина,сільські населені пункти (СНП),,UA4608021,Khyrivska,Хирівська,Хыровская,міська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,409,Census 2001,22.69454422,49.52841724,1,409
10415,UA4614003018,Kachmari,Качмарі,Качмари,сільські населені пункти (СНП),,UA4614003,Mostyska,Мостиська,Мостисская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,76,Census 2001,23.18789097,49.86601193,1,76
10439,UA2102017004,Kashtanovo,Каштаново,Каштаново,сільські населені пункти (СНП),,UA2102017,Kosonska,Косоньська,Косоньская,сільська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,262,Census 2001,22.45420152,48.30229226,1,262
10449,UA2102005004,Kvasovo,Квасово,Квасово,сільські населені пункти (СНП),,UA2102005,Velykoberezka,Великоберезька,Великобережская,сільська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,899,Census 2001,22.76918163,48.18805933,1,899
10632,UA2102003012,Kidosh,Кідьош,Кидьош,сільські населені пункти (СНП),,UA2102003,Berehivska,Берегівська,Береговская,міська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,895,Census 2001,22.69499748,48.21916709,1,895
10658,UA2104001009,Kinlod,Кінлодь,Кинлодь,сільські населені пункти (СНП),,UA2104001,Velykoluchkivska,Великолучківська,Великолучковская,сільська ОТГ,UA2104,Mukachivskyi,Мукачівський,Мукачевский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,223,Census 2001,22.43604335,48.46518899,1,223
10663,UA2110025003,Kinchesh,Кінчеш,Кинчеш,сільські населені пункти (СНП),,UA2110025,Kholmkivska,Холмківська,Холмковская,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,328,Census 2001,22.30642754,48.57420813,1,328
10683,UA4606039022,Klebany,Клебани,Клебаны,сільські населені пункти (СНП),,UA4606039,Rava-Ruska,Рава-Руська,Рава-Русская,міська ОТГ,UA4606,Lvivskyi,Львівський,Львовский,район,,UA46,Lvivska,Львівська,Львовская,область,345,Census 2001,23.5948861,50.20233348,1,345
10821,UA2110003004,Kniahynia,Княгиня,Княгиня,сільські населені пункти (СНП),,UA2110003,Velykobereznianska,Великоберезнянська,Великоберезнянская,селищна ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,319,Census 2001,22.51353945,48.97188353,1,319
10841,UA4608005016,Kniazhpil,Княжпіль,Княжполь,сільські населені пункти (СНП),,UA4608005,Dobromylska,Добромильська,Добромильская,міська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,650,Census 2001,22.74890745,49.56699796,1,650
10880,UA7304017010,Kobolchyn,Коболчин,Коболчин,сільські населені пункти (СНП),,UA7304017,Sokyrianska,Сокирянська,Сокирянская,міська ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,2355,Census 2001,27.37156036,48.50156007,1,2355
10895,UA4606039023,Kovali,Ковалі,Ковали,сільські населені пункти (СНП),,UA4606039,Rava-Ruska,Рава-Руська,Рава-Русская,міська ОТГ,UA4606,Lvivskyi,Львівський,Львовский,район,,UA46,Lvivska,Львівська,Львовская,область,116,Census 2001,23.50922469,50.22132172,1,116
10896,UA4614011033,Kovali,Ковалі,Ковали,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,54,Census 2001,23.36251986,50.0088534,1,54
11011,UA5104023008,Kozatske,Козацьке,Казацкое,сільські населені пункти (СНП),,UA5104023,Starokozatska,Старокозацька,Староказацкая,сільська ОТГ,UA5104,Bilhorod-Dnistrovskyi,Білгород-Дністровський,Белгород-Днестровский,район,,UA51,Odeska,Одеська,Одесская,область,1550,Census 2001,30.04527072,46.3472586,1,1550
11060,UA7304007003,Kozyriany,Козиряни,Козыряны,сільські населені пункти (СНП),,UA7304007,Livynetska,Лівинецька,Левинецкая,сільська ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,1005,Census 2001,26.64489516,48.36581225,1,1005
11070,UA0508013005,Kozliv,Козлів,Козлов,сільські населені пункти (СНП),,UA0508013,Yaryshivska,Яришівська,Ярышевская,сільська ОТГ,UA0508,Mohyliv-Podilskyi,Могилів-Подільський,Могилев-Подольский,район,,UA05,Vinnytska,Вінницька,Винницкая,область,684,Census 2001,27.52198625,48.47821407,1,684
11150,UA4614003020,Kolodka,Колодка,Колодка,сільські населені пункти (СНП),,UA4614003,Mostyska,Мостиська,Мостисская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,11,Census 2001,23.18968673,49.88296164,1,11
11193,UA4614011034,Kolonytsi,Колониці,Колоницы,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,263,Census 2001,23.31786343,50.07236394,1,263
11239,UA7304003013,Komariv,Комарів,Комаров,сільські населені пункти (СНП),,UA7304003,Kelmenetska,Кельменецька,Кельменецкая,селищна ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,1801,Census 2001,26.98816925,48.56183121,1,1801
11313,UA0508003007,Koneva,Конева,Конева,сільські населені пункти (СНП),,UA0508003,Vendychanska,Вендичанська,Вендичанская,селищна ОТГ,UA0508,Mohyliv-Podilskyi,Могилів-Подільський,Могилев-Подольский,район,,UA05,Vinnytska,Вінницька,Винницкая,область,555,Census 2001,27.87397804,48.54872738,1,555
11356,UA2110025004,Kontsovo,Концово,Концово,сільські населені пункти (СНП),,UA2110025,Kholmkivska,Холмківська,Холмковская,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1278,Census 2001,22.24415973,48.56890492,1,1278
11366,UA4614009015,Koniushky,Конюшки,Конюшки,сільські населені пункти (СНП),,UA4614009,Shehynivska,Шегинівська,Шегиновская,сільська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,217,Census 2001,23.06647683,49.74871767,1,217
11489,UA0702021010,Korytnytsia,Коритниця,Корытница,сільські населені пункти (СНП),,UA0702021,Ustyluzka,Устилузька,Устилугская,міська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,365,Census 2001,24.04029172,50.9355981,1,365
11493,UA2110025005,Korytniany,Коритняни,Корытняны,сільські населені пункти (СНП),,UA2110025,Kholmkivska,Холмківська,Холмковская,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1596,Census 2001,22.2978643,48.55564298,1,1596
11626,UA4614003022,Korchunok,Корчунок,Корчунок,сільські населені пункти (СНП),,UA4614003,Mostyska,Мостиська,Мостисская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,23,Census 2001,23.20039747,49.87872269,1,23
11676,UA0702019008,Kosmivka,Космівка,Космовка,сільські населені пункти (СНП),,UA0702019,Poromivska,Поромівська,Поромовская,сільська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,99,Census 2001,24.17817569,50.69757698,1,99
11680,UA2102017001,Koson,Косонь,Косонь,сільські населені пункти (СНП),центр сільської ОТГ,UA2102017,Kosonska,Косоньська,Косоньская,сільська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,2338,Census 2001,22.45689661,48.25465839,1,2338
11681,UA2110003005,Kosteva Pastil,Костева Пастіль,Костева Пастиль,сільські населені пункти (СНП),,UA2110003,Velykobereznianska,Великоберезнянська,Великоберезнянская,селищна ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,304,Census 2001,22.55168427,48.85600638,1,304
11691,UA7306003005,Kostychany,Костичани,Костичаны,сільські населені пункти (СНП),,UA7306003,Vanchykovetska,Ванчиковецька,Ванчиковецкая,сільська ОТГ,UA7306,Cnernivetskyi,Чернівецький,Черновицкий,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,1357,Census 2001,26.50730761,48.22687414,1,1357
11706,UA2110009001,Kostryna,Кострина,Кострина,сільські населені пункти (СНП),центр сільської ОТГ,UA2110009,Kostrynska,Костринська,Костринская,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1108,Census 2001,22.6003514,48.94510192,1,1108
11769,UA4614011035,Koty,Коти,Коты,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,870,Census 2001,23.40512098,50.01038596,1,870
11824,UA4614011036,Kokhanivka,Коханівка,Кохановка,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,532,Census 2001,23.23744421,49.98171233,1,532
11839,UA0706005008,Kotsiury,Коцюри,Коцюры,сільські населені пункти (СНП),,UA0706005,Vyshnivska,Вишнівська,Вишневская,сільська ОТГ,UA0706,Kovelskyi,Ковельський,Ковельский,район,,UA07,Volynska,Волинська,Волынская,область,315,Census 2001,23.98078706,51.1977607,1,315
11893,UA0508005022,Koshtulia,Коштуля,Коштуля,сільські населені пункти (СНП),,UA0508005,Mohyliv-Podilska,Могилів-Подільська,Могилев-Подольская,міська ОТГ,UA0508,Mohyliv-Podilskyi,Могилів-Подільський,Могилев-Подольский,район,,UA05,Vinnytska,Вінницька,Винницкая,область,112,Census 2001,27.94249255,48.54562512,1,112
